Acronym,SAT ID,Launch,(expected) EOL,Satellite Programme,Agencies,Orbit,Altitude,Longitude,Inclination,Ect,Sat status,Payload,Last update
CLUSTER-C,472,2000-08-09,2025-11-30,Cluster,"ESA
NASA",MAG,,,90°,,Operational,SAR-C (GF-3),2022-07-11 14:11:52
CLUSTER-D,888,2000-08-09,2025-11-30,Cluster,"ESA
NASA",MAG,,,90°,,Operational,SAR-C (GF-3),2022-07-11 14:12:41
NOAA-16,338,2000-09-21,2014-06-09,NOAA 5th generation / Polar Operational Environmental Satellites,"NOAA
",SunSync,849 km,,,09:01 desc,Inactive,GF-4 imager,2020-09-08 18:36:51
NMP-EO-1,322,2000-11-21,2017-03-30,New Millennium Program - Earth Observing -1,"NASA
USGS",SunSync,691 km,,,09:45 desc,Inactive,"AHSI
AIUS
DPC
EMI
GMI (GF-5)
VIMS",2021-11-18 14:17:21
SAC-C,384,2000-11-21,2013-08-15,Satélite de Aplicaciones Cientificas,"CONAE
AEB
INPE
NASA",SunSync,705 km,,,10:20 desc,Inactive,"AHSI
AIUS
DPC
EMI
GMI (GF-5)
VIMS",2021-12-20 08:11:52
Odin,348,2001-02-20,2021-11-30,Odin,"SNSA
CNES
CSA",SunSync,552 km,,,06:42 desc,Operational,"PMS
WFV",2020-09-08 18:43:18
GOES-12,148,2001-07-23,2010-05-10,Geostationary Operational Environmental Satellite - 2nd generation,"NOAA
NASA",GEO,35786 km,75 ° W,,,Inactive,PMS-2,2020-09-08 18:51:17
Coronas-F,568,2001-07-31,2005-12-06,Complex Orbital Observations Near-Earth of Activity of the Sun,"Roscosmos
",DRIFT,550 km,,82.5°,,Inactive,PMS-2,2020-09-08 18:34:42
OrbView-4,563,2001-09-21,2001-09-21,GeoEye,"Maxar
GeoEye",SunSync,470 km,,,10:30 desc,Lost at launch,PMS-2,2020-09-08 18:35:46
QuickBird,497,2001-10-18,2015-01-27,WorldView,"Maxar
DigitalGlobe",SunSync,482 km,,,10:30 desc,Inactive,PMS-2,2021-03-02 23:34:32
BIRD,17,2001-10-22,2007-07-01,Bi-spectral Infra-Red Detection,"DLR
",SunSync,572 km,,,10:30 desc,Inactive,PMS-2,2021-03-02 23:35:16
PROBA-1,364,2001-10-22,2021-11-30,Project for On-Board Autonomy,"ESA
",SunSync,615 km,,,07:30 desc,Operational,PMS-2,2021-03-02 23:36:05
JASON-1,204,2001-12-07,2013-07-01,Joint Altimetry Satellite Oceanography Network,"NASA
CNES
EUMETSAT
NOAA",DRIFT,1324 km,,66°,,Inactive,PMS-2,2021-03-02 23:36:59
TIMED,430,2001-12-07,2021-11-30,"Thermosphere, Ionosphere, Mesosphere Energetics and Dynamics mission","NASA
",DRIFT,625 km,,74°,,Operational,"GFO-RA
LRA (NASA)
TRSR
WVR",2015-07-27 23:32:42
Meteor-3M,282,2001-12-10,2006-04-05,Meteor-3M,"RosHydroMet
Roscosmos",SunSync,1020 km,,,09:15 asc,Inactive,RRA,2015-07-27 23:33:34
INSAT-3C,192,2002-01-24,2013-11-30,Indian National Satellite - 3,"ISRO
IMD",GEO,35786 km,74 ° E,,,Inactive,"C&A
GHGSat-Spectrometer",2022-05-30 15:13:11
RHESSI,573,2002-02-05,2018-08-16,Reuven Ramaty High Energy Solar Spectroscopic Imager,"NASA
",DRIFT,600 km,,38°,,Inactive,"HyS-SWIR
HyS-VNIR
MX-LWIR
MX-VNIR",2021-06-10 13:42:04
Envisat,78,2002-03-01,2012-04-08,Environmental Satellite,"ESA
",SunSync,774 km,,,10:00 desc,Inactive,"APS
CC
TIM ",2015-07-27 23:35:16
GRACE (2 sats),158,2002-03-17,2017-10-27,Gravity Recovery and Climate Experiment,"NASA
DLR",DRIFT,337 km,,89°,,Inactive,Pyxis-RO,2022-05-25 14:59:04
Aqua,79,2002-05-04,2024-11-30,Earth Observation System,"NASA
",SunSync,705 km,,,13:30 asc,Operational,Pyxis-RO,2022-05-25 14:57:19
SPOT-5,416,2002-05-04,2015-03-27,Satellite Pour l’Observation de la Terre,"CNES
Spot Image",SunSync,832 km,,,10:30 desc,Inactive,Pyxis-RO,2022-05-25 14:57:56
FY-1D,104,2002-05-15,2012-04-01,Feng-Yun - 1,"CMA
NRSCC",SunSync,866 km,,,09:00 desc,Inactive,"EGG
LRR (ESA)
SSTI",2015-07-27 23:39:52
HY-1A,172,2002-05-15,2004-03-30,Hai Yang 1,"NSOAS
CAST",SunSync,795 km,,,10:30 desc,Inactive,"DCIS
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
VISSR",2015-07-28 10:52:00
NOAA-17,339,2002-06-24,2013-04-10,NOAA 5th generation / Polar Operational Environmental Satellites,"NOAA
",SunSync,810 km,,,07:03 desc,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER",2021-03-20 22:10:37
Meteosat-8,302,2002-08-28,2016-07-04,Meteosat Second Generation (MSG),"EUMETSAT
ESA",GEO,35786 km,3.7 ° E,,,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER",2021-03-20 22:11:34
Kalpana-1,210,2002-09-12,2017-08-31,Kalpana,"ISRO
IMD",GEO,35786 km,74 ° E,,,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER",2021-03-20 22:12:28
AlSat-1,8,2002-11-28,2010-08-15,Algeria Satellite,"ASAL
",SunSync,700 km,,,10:30 asc,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 12-15)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER
SXI",2021-03-20 22:13:24
ADEOS-2,3,2002-12-14,2003-10-25,Advanced Earth Observing Satellite (original name: “Midori”),"JAXA
",SunSync,812 km,,,10:30 desc,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 12-15)
SEM/EPS
SEM/HEPAD
SEM/MAG
SOUNDER",2021-03-20 22:14:15
Coriolis,36,2003-01-06,2020-11-30,Coriolis,"DoD
NASA",SunSync,838 km,,,06:10 desc,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 12-15)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER
SXI",2020-08-19 14:40:40
ICESat,177,2003-01-12,2010-08-14,"Ice, Cloud and land Elevation Satellite","NASA
",DRIFT,600 km,,94°,,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 12-15)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER
SXI",2022-10-03 09:03:51
SORCE,411,2003-01-25,2020-02-25,Solar Radiation and Climate Experiment,"NASA
",DRIFT,640 km,,40°,,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 12-15)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER
SXI",2022-10-03 09:35:25
INSAT-3A,190,2003-04-10,2016-08-31,Indian National Satellite - 3,"ISRO
IMD",GEO,35786 km,93.5 ° E,,,Inactive,"ABI
DCIS
EXIS
GEOS&R 
GLM
SEISS/EHIS
SEISS/MPS
SEISS/SGPS
SEM/MAG
SUVI",2022-10-03 12:13:19
GOES-9 (GMS backup),536,2003-05-22,2006-07-24,Geostationary Operational Environmental Satellite - 2nd generation,"NOAA
NASA",GEO,35786 km,155 ° E,,,Inactive,"ABI
DCIS
EXIS
GEOS&R 
GLM
SEISS/EHIS
SEISS/MPS
SEISS/SGPS
SEM/MAG
SUVI",2022-10-20 14:02:31
OrbView-3,501,2003-06-26,2007-04-23,GeoEye,"Maxar
GeoEye",SunSync,470 km,,,10:30 desc,Inactive,"ABI
DCIS
EXIS
GEOS&R 
GLM
SEISS/EHIS
SEISS/MPS
SEISS/SGPS
SEM/MAG
SUVI",2022-10-20 14:02:58
SCISAT-1,393,2003-08-13,2023-11-30,Science Satellite / Atmospheric Chemistry Experiment,"CSA
NASA",DRIFT,650 km,,73.9°,,Operational,"DCIS
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
VISSR",2015-07-28 11:03:33
BILSat,16,2003-09-27,2006-08-15,BILTEN Satellte,"TÜBITAK-UZAY
",SunSync,686 km,,,10:30 asc,Inactive,"DCIS
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
VISSR",2015-07-28 11:04:18
NigeriaSat-1,313,2003-09-27,2011-11-15,NigeriaSat,"NASRDA
",SunSync,686 km,,,10:30 asc,Inactive,"DCIS
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
VAS",2015-07-28 11:05:09
STSat-1,569,2003-09-27,2005-10-15,Science and Technology Satellite,"KARI
",SunSync,690 km,,,10:30 asc,Inactive,"DCIS
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
VAS",2015-07-28 11:06:09
UK-DMC-1,447,2003-09-27,2011-11-15,UK contribution to the Disaster Monitoring Constellation,"SSTL
UKSA",SunSync,686 km,,,10:30 asc,Inactive,"DCIS
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
VAS",2015-07-28 11:07:18
ResourceSat-1 (IRS-P6),373,2003-10-17,2021-11-30,Satellite for Earth Resources,"ISRO
",SunSync,817 km,,,10:42 desc,Operational,"DCIS
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
VAS",2015-07-28 11:08:36
DMSP-F16,63,2003-10-18,2018-11-30,Defense Meteorological Satellite Program - Block 5D-3,"DoD
NOAA",SunSync,848 km,,,06:20 desc,Presumably inactive,"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER",2021-03-20 22:07:16
CBERS-2,26,2003-10-21,2007-11-15,China-Brazil Earth Resources Satellite,"CAST
AEB
CRESDA
INPE",SunSync,778 km,,,10:30 desc,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER",2021-03-20 22:08:24
FORMOSAT-2,100,2004-05-21,2016-08-19,FORMOSAT,"NSPO
UCAR",SunSync,891 km,,,09:30 desc,Inactive,"DCIS
GEOS&R 
IMAGER (GOES 8-11)
SEM/EPS
SEM/HEPAD
SEM/MAG
SEM/XRS-EUV
SOUNDER",2021-03-20 22:09:18
Aura,80,2004-07-15,2024-11-30,Earth Observation System,"NASA
",SunSync,705 km,,,13:40 asc,Operational,"ABI
CCOR
DCIS
EXIS
GEOS&R 
GLM
SEISS/EHIS
SEISS/MPS
SEISS/SGPS
SEM/MAG
SUVI",2022-10-03 08:34:33
FY-2C,107,2004-10-19,2009-11-23,Feng-Yun - 2,"CMA
NRSCC",GEO,35786 km,105 ° E,,,Inactive,HiRI,2022-01-03 13:06:13
PARASOL,359,2004-12-18,2013-12-18,"Polarisation et Anisotropie des Réflectances au sommet de l'Atmosphère, couplées avec un Satellite d'Observation emportant un Lidar","CNES
",SunSync,700 km,,,15:20 asc,Inactive,EOS-C,2022-02-05 15:35:10
SICH-1M,404,2004-12-24,2006-04-15,Okean Operational 1,"NSAU
Roscosmos
RosHydroMet",DRIFT,650 km,,82.5°,,Inactive,"TANSO-CAI
TANSO-FTS",2021-12-06 16:58:25
Himawari-6 (MTSAT-1R),165,2005-02-26,2015-12-04,Himawari 2nd generation (Multifunction Transport Satellite),"JMA
JCAB",GEO,35786 km,140 ° E,,,Inactive,"TANSO-CAI/2
TANSO-FTS/2",2019-03-23 17:21:27
CartoSat-1 (IRS-P5),20,2005-05-05,2019-05-05,Satellite for Cartography,"ISRO
",SunSync,618 km,,,10:15 desc,Inactive,"AMSR-3
TANSO-3",2022-03-21 14:46:34
NOAA-18,340,2005-05-20,2021-11-30,NOAA 5th generation / Polar Operational Environmental Satellites,"NOAA
",SunSync,854 km,,,08:05 desc,Operational,"DPR
GMI (core)",2022-09-26 14:00:03
Monitor-E,310,2005-08-26,2008-08-15,Monitor - Experimental,"Roscosmos
",SunSync,540 km,,,10:30 asc,Inactive,"BlackJack (GRACE)
HAIRS
LRR (DLR)
SCA (GRACE)
SuperSTAR",2020-04-06 01:00:10
CryoSat,38,2005-10-08,2005-10-08,CryoSat,"ESA
",SunSync,717 km,,92°,,Inactive,"HAIRS
LRR (DLR)
SCA (GRACE)
SuperSTAR
Tri-G (GRACE-FO)",2022-09-26 15:08:31
Beijing-1,18,2005-10-27,2009-11-30,Beijing,"NRSCC
",SunSync,699 km,,,08:15 asc,Presumably inactive,HCMR,2015-07-27 23:53:22
TopSat,444,2005-10-27,2008-08-17,TopSat,"UKSA
",SunSync,686 km,,,10:30 asc,Inactive,"DCS (Himawari)
SEM (GMS)
VISSR (Himawari 1-4)",2021-03-11 15:40:27
Meteosat-9,303,2005-12-21,2022-04-01,Meteosat Second Generation (MSG),"EUMETSAT
ESA",GEO,35786 km,3.5 ° E,,,Inactive,"DCS (Himawari)
SEM (GMS)
VISSR (Himawari 1-4)",2021-03-11 15:40:54
ALOS,5,2006-01-24,2011-04-22,Advanced Land Observing Satellite,"JAXA
",SunSync,692 km,,,10:30 desc,Inactive,"DCS (Himawari)
SEM (GMS)
VISSR (Himawari 1-4)",2021-03-11 15:41:59
Himawari-7 (MTSAT-2),166,2006-02-18,2016-05-10,Himawari 2nd generation (Multifunction Transport Satellite),"JMA
JCAB",GEO,35786 km,145 ° E,,,Inactive,"DCS (Himawari)
SEM (GMS)
VISSR (Himawari 1-4)",2021-03-11 15:42:54
COSMIC-1,37,2006-04-14,2020-05-06,"Constellation Observing System for Meteorology, Ionosphere & Climate","NSPO
NOAA
UCAR",DRIFT,800 km,,72°,,Inactive,"DCS (Himawari)
VISSR (Himawari-5)",2021-03-11 15:43:23
CALIPSO,19,2006-04-28,2022-11-30,Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations,"NASA
CNES",SunSync,689 km,,,13:45 asc,Operational,"DCS (Himawari)
JAMI",2021-03-11 15:44:09
CloudSat,32,2006-04-28,2024-11-30,CloudSat,"NASA
",SunSync,689 km,,,13:30 asc,Operational,"DCS (Himawari)
IMAGER (MTSAT-2)",2021-03-11 15:44:35
GOES-13,149,2006-05-24,2019-09-30,Geostationary Operational Environmental Satellite - 2nd generation,"NOAA
NASA",GEO,35786 km,60 ° W,,,Inactive,"AHI
DCS (Himawari)
SEDA",2022-09-14 09:39:41
Resurs-DK,375,2006-06-15,2015-11-30,Resurs-P,"Roscosmos
",DRIFT,570 km,,70.4°,,Inactive,"AHI
DCS (Himawari)
SEDA",2022-09-14 09:38:56
TWINS (2 sats),574,2006-06-28,2019-11-30,Two Wide-angle Imaging Neutral-atom Spectrometers,"NASA
USAF",Molniya,,,63.4°,,Inactive,"HSI
WVC",2019-12-28 20:13:00
KOMPSAT-2,214,2006-07-28,2021-11-30,Korea Multi-Purpose Satellite,"KARI
",SunSync,685 km,,,10:50 asc,Operational,"IRMSS (HJ)
WVC",2019-12-28 20:11:57
Solar-B (Hinode),455,2006-09-23,2021-11-30,Solar,"JAXA
",SunSync,680 km,,,06:00 asc,Operational,SAR-S,2021-12-29 18:09:05
Metop-A,306,2006-10-19,2021-11-15,EUMETSAT Polar System,"EUMETSAT
ESA",SunSync,827 km,,,07:50 desc,Inactive,"HSI-2
IRMSS-2 (HJ)
WVC-2",2021-03-05 21:50:42
STEREO-A,818,2006-10-26,2023-11-30,Solar-TErrestrial RElations Observatory,"NASA
",Ecliptic,,,23.44°,,Operational,"HSI-2
IRMSS-2 (HJ)
WVC-2",2021-03-05 21:51:45
STEREO-B,459,2006-10-26,2014-10-01,Solar-TErrestrial RElations Observatory,"NASA
",Ecliptic,,,23.44°,,Inactive,SAR-S,2022-10-17 07:49:28
DMSP-F17,64,2006-11-04,2021-11-30,Defense Meteorological Satellite Program - Block 5D-3,"DoD
NOAA",SunSync,848 km,,,06:40 desc,Operational,SAR-S,2022-10-14 10:35:18
GOES-10 (S-America),537,2006-12-01,2009-12-02,Geostationary Operational Environmental Satellite - 2nd generation,"NOAA
NASA",GEO,35786 km,60 ° W,,,Inactive,HRSAT-1,2021-11-25 14:37:29
Meteosat-7 (IODC),301,2006-12-05,2017-02-01,Meteosat First Generation,"EUMETSAT
ESA",GEO,35786 km,58 ° E,,,Inactive,HRSAT-1,2021-11-25 14:37:46
FY-2D,108,2006-12-08,2015-06-30,Feng-Yun - 2,"CMA
NRSCC",GEO,35786 km,86.5 ° E,,,Inactive,HRSAT-1,2021-11-25 14:38:06
TacSat-2,425,2006-12-12,2007-12-21,Tactical Satellite,"DoD
",DRIFT,418 km,,40°,,Inactive,HRWS-SAR,2021-01-16 18:01:45
CartoSat-2,21,2007-01-10,2019-08-13,Satellite for Cartography,"ISRO
",SunSync,635 km,,,09:30 desc,Inactive,"COCTS
CZI",2020-06-11 10:44:45
THEMIS-A,819,2007-02-17,2021-11-30,Time History of Events and Macroscale Interactions during Substorms,"NASA
",MAG,,,6°,,Operational,"COCTS
CZI",2020-09-17 11:49:36
THEMIS-D,460,2007-02-17,2021-11-30,Time History of Events and Macroscale Interactions during Substorms,"NASA
",MAG,,,6°,,Operational,"COCTS
CZI",2020-06-11 15:15:22
THEMIS-E,820,2007-02-17,2021-11-30,Time History of Events and Macroscale Interactions during Substorms,"NASA
",MAG,,,6°,,Operational,"COCTS
CZI",2021-03-05 14:28:17
STPSat-1,542,2007-03-09,2009-10-07,Space Test Program Satellite,"DoD
",DRIFT,550 km,,37.4°,,Inactive,"COCTS
CZI",2021-10-22 14:13:18
HY-1B,173,2007-04-11,2016-02-13,Hai Yang 1,"NSOAS
CAST",SunSync,798 km,,,10:30 desc,Inactive,"COCTS
CZI",2021-10-22 14:13:53
EgyptSat-1,596,2007-04-17,2010-07-19,EgyptSat,"NARSS
",SunSync,668 km,,,10:30 desc,Inactive,"ALT (sso)
CMR
DORIS
LRA (NASA)
MWRI (HY-2)
SCAT (sso)",2022-04-28 15:04:55
Meteosat-6 (IODC),534,2007-04-27,2011-04-15,Meteosat First Generation,"EUMETSAT
ESA",GEO,35786 km,67.5 ° E,,,Inactive,"ALT (sso)
CMR
DORIS
LRA (NASA)
MWRI (HY-2)
SCAT (sso)",2021-09-17 10:29:30
CSK-1,42,2007-06-08,2021-11-30,COSMO-SkyMed,"ASI
",SunSync,629.5 km,,,05:46 asc,Operational,"ALT (high)
CMR
DORIS
LRA (NASA)
SCAT (incl)",2021-09-17 10:34:21
TerraSAR-X,427,2007-06-15,2023-11-30,TerraSAR,"DLR
",SunSync,515 km,,,06:00 desc,Operational,"ALT (sso)
CMR
DORIS
LRA (NASA)
SCAT (sso)",2022-01-26 15:04:58
WorldView-1,498,2007-09-18,2021-11-30,WorldView,"Maxar
DigitalGlobe",SunSync,499 km,,,13:30 desc,Operational,"ALT (sso)
CMR
DORIS
LRA (NASA)
SCAT (sso)",2021-08-26 17:45:05
CBERS-2B,27,2007-09-19,2010-05-16,China-Brazil Earth Resources Satellite,"CAST
AEB
CRESDA
INPE",SunSync,778 km,,,10:30 desc,Inactive,"ALT (high)
CMR
DORIS
LRA (NASA)
SCAT (incl)",2021-08-26 17:46:18
CSK-2,43,2007-12-09,2021-11-30,COSMO-SkyMed,"ASI
",SunSync,629.5 km,,,05:46 asc,Operational,"ALT (high)
CMR
DORIS
LRA (NASA)
SCAT (incl)",2021-08-26 17:47:38
RadarSat-2,367,2007-12-14,2021-11-30,RadarSat,"CSA
",SunSync,798 km,,,06:00 desc,Operational,,2021-10-22 14:19:35
C/NOFS,539,2008-04-16,2015-11-28,Communication/Navigation Outage Forecasting System,"DoD
NASA
UCAR
USAF",DRIFT,588 km,,13°,,Inactive,W-SAR,2022-01-17 10:52:24
CartoSat-2A,22,2008-04-28,2021-11-30,Satellite for Cartography,"ISRO
",SunSync,635 km,,,09:32 desc,Operational,W-SAR,2022-01-17 10:53:51
IMS-1,179,2008-04-28,2012-09-20,Indian Mini-Satellite,"ISRO
",SunSync,632 km,,,09:30 desc,Inactive,,2021-10-22 14:19:08
FY-3A,113,2008-05-27,2015-01-05,Feng-Yun - 3,"CMA
NRSCC",SunSync,834 km,,,09:05 desc,Inactive,,2020-08-20 20:19:50
JASON-2,205,2008-06-20,2019-10-01,Joint Altimetry Satellite Oceanography Network,"NASA
CNES
EUMETSAT
NOAA",DRIFT,1309.5 km,,66°,,Inactive,HySIS,2020-01-04 14:02:51
RapidEye (5 sats),368,2008-08-29,2020-02-29,RapidEye,"Planet
DLR
RapidEye",SunSync,630 km,,,11:00 desc,Presumably inactive,,2016-06-30 01:54:05
GeoEye-1,494,2008-09-06,2021-11-30,GeoEye,"Maxar
GeoEye",SunSync,681 km,,,10:30 desc,Operational,IBEX,2022-01-03 15:23:02
HJ-1A,169,2008-09-06,2017-11-30,Huan Jing,"CRESDA
CAST",SunSync,650 km,,,10:30 desc,Inactive,"GLAS
LRA (NASA)
TRSR",2015-07-28 00:17:52
HJ-1B,170,2008-09-06,2017-11-30,Huan Jing,"CRESDA
CAST",SunSync,650 km,,,10:30 desc,Presumably inactive,"ATLAS
LRA (NASA)
TRSR",2022-03-21 08:42:10
THEOS-1,429,2008-10-01,2024-11-30,Thailand Earth Observation System,"GISTDA
",SunSync,822 km,,,10:00 desc,Operational,ICEYE SAR,2022-07-04 07:55:50
IBEX,575,2008-10-19,2021-11-30,Interstellar Boundary Explorer,"NASA
",MAG,,,11°,,Operational,"EUV (ICON)
FUV (ICON)
IVM
MIGHTI",2022-10-21 10:18:06
CSK-3,44,2008-10-25,2021-11-30,COSMO-SkyMed,"ASI
",SunSync,629.5 km,,,05:46 asc,Operational,OSA,2017-08-03 10:33:23
FY-2E,109,2008-12-23,2018-12-31,Feng-Yun - 2,"CMA
NRSCC",GEO,35786 km,86.5 ° E,,,Inactive,"EUV
FUV/GEO
FUV/SI
FUV/WIC
HENA
LENA
MENA
RPI",2015-07-28 11:39:42
GOSAT,154,2009-01-23,2021-11-30,Greenhouse gas Observing Satellite,"JAXA
MOE",SunSync,666 km,,,13:00 desc,Operational,"HySI-T
Mx-T",2018-03-20 12:29:30
Coronas-Photon,473,2009-01-30,2009-12-01,Complex Orbital Observations Near-Earth of Activity of the Sun,"Roscosmos
",DRIFT,550 km,,82.5°,,Inactive,"DCS (INSAT)
VHRR (INSAT)",2015-07-28 12:23:57
NOAA-19,341,2009-02-06,2021-11-30,NOAA 5th generation / Polar Operational Environmental Satellites,"NOAA
",SunSync,870 km,,,07:29 desc,Operational,"DCS (INSAT)
VHRR (INSAT)",2015-07-28 12:24:40
OCO,346,2009-02-24,2009-02-24,Orbiting Carbon Observatory ,"NASA
",SunSync,705 km,,,13:15 asc,Lost at launch,"DCS (INSAT)
VHRR (INSAT)",2015-07-28 12:25:13
GOCE,136,2009-03-17,2013-10-21,Gravity Field and Steady-State Ocean Circulation Explorer,"ESA
",SunSync,230 km,,,06:00 asc,Inactive,"DCS (INSAT)
VHRR (INSAT)",2015-07-28 12:25:50
RISAT-2,381,2009-04-20,2021-11-30,Radar Imaging Satellite,"ISRO
",DRIFT,440 km,,41°,,Operational,"DCS (INSAT)
SAS&R
VHRR (INSAT)",2015-07-28 12:26:29
GOES-14,150,2009-06-27,2021-11-30,Geostationary Operational Environmental Satellite - 2nd generation,"NOAA
NASA",GEO,35786 km,105 ° W,,,Stand-by,"DCS (INSAT)
SAS&R
VHRR (INSAT)",2015-07-28 12:27:14
Deimos-1,46,2009-07-29,2018-11-30,Deimos,"Elecnor-Deimos
",SunSync,660 km,,,10:30 asc,Presumably inactive,,2015-07-28 12:27:58
DubaiSat-1,68,2009-07-29,2016-05-09,DubaiSat,"EIAST
",SunSync,686 km,,,10:30 desc,Inactive,"DCS (INSAT)
SAS&R
VHRR (INSAT)",2015-07-28 12:28:35
UK-DMC-2,448,2009-07-29,2018-11-30,UK contribution to the Disaster Monitoring Constellation,"SSTL
UKSA",SunSync,686 km,,,10:30 asc,Presumably inactive,"CCD
DCS (INSAT)
SAS&R
VHRR (INSAT)",2015-07-28 12:29:33
STSat-2,570,2009-08-25,2009-08-25,Science and Technology Satellite,"KARI
",MAG,670 km,,80°,,Lost at launch,"CCD
DCS (INSAT)
SAS&R
VHRR (INSAT)",2017-07-17 17:09:14
Meteor-M N1,283,2009-09-17,2014-09-23,Meteor-3M,"RosHydroMet
Roscosmos",SunSync,826 km,,,09:30 desc,Inactive,,2017-01-20 10:45:19
SumbandilaSat,421,2009-09-17,2011-07-15,SumbandilaSat,"SANSA
",SunSync,504 km,,,09:00 desc,Inactive,,2017-07-17 17:18:07
OceanSat-2,344,2009-09-23,2021-11-30,Satellite for the Ocean,"ISRO
",SunSync,730 km,,,11:53 desc,Operational,"DCS (INSAT)
IMAGER (INSAT)
SAS&R
SOUNDER (INSAT)",2022-06-27 14:48:18
ISS HICO,625,2009-09-25,2014-09-24,International Space Station,"NASA
CSA
DLR
ESA
JAXA
Roscosmos",DRIFT,407 km,,51.6°,,Inactive,"DCS (INSAT)
IMAGER (INSAT)
SAS&R
SOUNDER (INSAT)",2022-03-21 14:49:09
WorldView-2,499,2009-10-01,2021-11-30,WorldView,"Maxar
DigitalGlobe",SunSync,770 km,,,10:30 desc,Operational,"DCS (INSAT)
IMAGER (INSAT)
SAS&R
SOUNDER (INSAT)",2022-03-21 14:49:53
DMSP-F18,65,2009-10-18,2021-11-30,Defense Meteorological Satellite Program - Block 5D-3,"DoD
NOAA",SunSync,850 km,,,04:50 desc,Operational,"ESEP
GALS/1
LAERTES
MAYAK
NBK/2
Ozonometer-TM
PES
SPER/1
ST/1",2022-08-23 10:12:08
PROBA-2,490,2009-11-02,2021-11-30,Project for On-Board Autonomy,"ESA
",SunSync,730 km,,,06:00 asc,Operational,"ESEP
GALS/1
LAERTES
MAYAK
NBK/2
Ozonometer-TM
PES
SPER/1
ST/1",2021-11-26 19:09:20
SMOS,408,2009-11-02,2024-11-30,Soil Moisture and Ocean Salinity,"ESA
CDTI
CNES",SunSync,755 km,,,06:00 asc,Operational,IRIS (IRIS),2022-01-03 15:20:22
SDO,457,2010-02-11,2021-11-30,Solar Dynamics Observatory,"NASA
",GeoSync,35756 km,105 ° W,29.6°,,Operational,"LISS-1
LISS-2",2015-07-28 12:33:59
GOES-15,151,2010-03-04,2021-11-30,Geostationary Operational Environmental Satellite - 2nd generation,"NOAA
NASA",GEO,35786 km,128 ° W,,,Stand-by,"LISS-1
LISS-2",2015-07-28 12:34:49
CryoSat-2,39,2010-04-08,2027-11-30,CryoSat,"ESA
",DRIFT,717 km,,92°,,Operational,"LISS-3 (IRS-1)
PAN (IRS)
WiFS",2015-07-28 12:35:39
GOES-12 (S-America),538,2010-05-10,2013-08-16,Geostationary Operational Environmental Satellite - 2nd generation,"NOAA
NASA",GEO,35786 km,60 ° W,,,Inactive,"LISS-3 (IRS-1)
PAN (IRS)
WiFS",2015-07-28 12:36:27
Picard,486,2010-06-15,2014-04-04,Picard,"CNES
",SunSync,725 km,,,06:00 asc,Inactive,"LISS-1
MEOSS",2015-07-28 12:37:52
TanDEM-X,426,2010-06-21,2025-11-30,TerraSAR,"DLR
",SunSync,515 km,,,06:00 desc,Operational,LISS-2M,2015-07-28 12:38:32
COMS,33,2010-06-26,2021-04-01,"Communication, Oceanography and Meteorology Satellite","KMA
KARI
ME (NIER)
MLTM",GEO,35786 km,128.2 ° E,,,Inactive,"IXAE
MOS
WiFS (IRS-P3)",2015-07-28 12:39:15
AlSat-2,9,2010-07-12,2018-11-30,Algeria Satellite,"ASAL
",SunSync,686 km,,,10:30 asc,Presumably inactive,"MMIA
MXGS",2022-01-03 16:14:09
